"明白 (míngbai)","hiểu, rõ ràng","Thấu hiểu ý nghĩa hoặc trạng thái thông suốt."
"热心 (rèxīn)","nhiệt tình","Sẵn lòng bỏ tâm huyết để giúp đỡ hoặc làm việc."
"爱心 (àixīn)","lòng nhân ái","Sự yêu thương và quan tâm đến người khác."
" patience (nàixīn)","kiên nhẫn","Khả năng chờ đợi và không bỏ cuộc."
"细心 (xìxīn)","cẩn thận, tỉ mỉ","Chú ý đến những chi tiết nhỏ nhất."
"责任心 (zérènxīn)","tinh thần trách nhiệm","Ý thức hoàn thành nhiệm vụ được giao."
"紧张 (jǐnzhāng)","căng thẳng, hồi hộp","Tâm trạng lo âu trước những sự kiện quan trọng."
"友谊 (yǒuyì)","tình bạn","Mối quan hệ bạn bè tốt đẹp."
"享受 (xiǎngshòu)","hưởng thụ, tận hưởng","Cảm nhận sự vui vẻ, thoải mái từ cuộc sống."
"美好 (měihǎo)","tốt đẹp","Dùng cho những điều mang lại cảm xúc tích cực."
"录音 (lùyīn)","ghi âm, bản ghi âm","Hành động thu lại âm thanh hoặc sản phẩm thu âm."
"句 (jù)","câu","Lượng từ dùng cho câu nói hoặc lời văn."
"分之 (fēnzhī)","phần","Dùng trong cách đọc phân số (vd: sān fēn zhī yī)."
"百分之 (bǎifēnzhī)","phần trăm","Dùng trong cách đọc tỷ lệ phần trăm."
"阅读 (yuèdú)","đọc hiểu, đọc","Hành động xem và hiểu nội dung văn bản."
"成就 (chéngjiù)","thành tựu","Kết quả lớn lao đạt được sau nỗ lực."
"好好儿 (hǎohāor)","tử tế, đàng hoàng","Làm việc gì đó một cách nghiêm túc, hết mức."
"闷 (mēn)","oi bức, ngột ngạt","Cảm giác thiếu không khí hoặc khó chịu (thời tiết)."
"闷 (mèn)","buồn chán, u sầu","Cảm giác buồn bực trong lòng."
"闹 (nào)","ồn ào, gây chuyện","Âm thanh náo nhiệt hoặc gây ra vấn đề."
"谈 (tán)","trò chuyện, bàn bạc","Trao đổi ý kiến một cách thân mật hoặc công việc."
"伟大 (wěidà)","vĩ đại","Tầm vóc lớn lao, đáng ngưỡng mộ."
"意义 (yìyì)","ý nghĩa","Giá trị hoặc nội hàm của sự vật/hành động."
"尊敬 (zūnjìng)","kính trọng","Thái độ coi trọng người có địa vị, tuổi tác cao."
"尊重 (zūnzhòng)","tôn trọng","Coi trọng ý kiến hoặc quyền lợi của người khác."
"救人 (jiùrén)","cứu người","Hành động giúp ai đó thoát khỏi nguy hiểm."
"恢复 (huīfù)","khôi phục, hồi phục","Trở lại trạng thái bình thường sau sự cố/bệnh."
"灰色 (huīsè)","màu xám, u ám","Màu tro hoặc tâm trạng tiêu cực."
"抱怨 (bàoyuàn)","than vãn, oán trách","Nói ra sự không hài lòng về người hoặc việc."
"上夜班 (shàng yèbān)","làm ca đêm","Làm việc vào khoảng thời gian ban đêm."
"职业 (zhíyè)","nghề nghiệp","Công việc làm để kiếm sống."
"值得 (zhídé)","xứng đáng, đáng giá","Có giá trị để thực hiện hoặc bỏ công sức."
"成为 (chéngwéi)","trở thành","Biến đổi thành một vai trò hoặc trạng thái mới."
"拉 (lā)","kéo, nắm tay","Hành động dùng lực để kéo vật về phía mình."
"窗帘 (chuānglián)","rèm cửa","Tấm vải che cửa sổ để cản sáng."
"窗户 (chuānghu)","cửa sổ","Lối mở trên tường để đón ánh sáng và gió."
"停 (tíng)","dừng, tạnh, ngắt","Kết thúc một hành động hoặc trạng thái (vd: mưa tạnh)."
"闷热 (mēnrè)","nóng bức, oi nồng","Thời tiết vừa nóng vừa không có gió."
"卡拉OK (kǎlā-OK)","karaoke","Hoạt động hát theo nhạc đệm."
"打扮 (dǎban)","trang điểm, ăn diện","Làm đẹp vẻ ngoài bằng quần áo, phấn son."
"它 (tā)","nó","Đại từ thay thế cho đồ vật hoặc con vật."
"亮 (liàng)","sáng, chiếu sáng","Trạng thái có ánh sáng rõ rệt."
"困 (kùn)","buồn ngủ, mệt mỏi","Cảm giác muốn đi ngủ do thiếu tỉnh táo."
"学期 (xuéqī)","học kỳ","Khoảng thời gian học tập trong một năm học."
"期末 (qīmò)","cuối kỳ","Thời điểm kết thúc một học kỳ."
"期中 (qīzhōng)","giữa kỳ","Thời điểm giữa một học kỳ (thường có thi cử)."
"结束 (jiéshù)","kết thúc","Hành động hoặc sự việc đi đến hồi kết."
"结婚 (jiéhūn)","kết hôn","Sự kiện lập gia đình của hai người."
"结果 (jiéguǒ)","kết quả, rốt cuộc","Phần cuối cùng đạt được hoặc liên từ chỉ kết cục."
"邀请 (yāoqǐng)","mời","Ngỏ lời mời ai đó tham gia sự kiện."
"婚礼 (hūnlǐ)","hôn lễ, đám cưới","Lễ kỷ niệm việc kết hôn."
"拒绝 (jùjué)","từ chối, cự tuyệt","Không chấp nhận lời mời hoặc yêu cầu."
"表白 (biǎobái)","tỏ tình, bộc bạch","Nói ra tình cảm thầm kín với đối phương."
"没准儿 (méizhǔnr)","biết đâu, có khi","Chỉ một khả năng có thể xảy ra nhưng không chắc."
"师傅 (shīfu)","thầy, bác tài","Cách gọi tôn trọng người làm nghề thủ công/tài xế."
"赶 (gǎn)","vội, đuổi kịp","Hành động tranh thủ thời gian hoặc theo kịp xe."
"开 (kāi)","sôi (nước)","Trạng thái nước đạt 100 độ C."
"如果 (rúguǒ)","nếu","Liên từ giả định một tình huống."
"要是 (yàoshi)","nếu (văn nói)","Liên từ giả định thường dùng trong giao tiếp."
"的话 (dehuà)","nếu như","Dùng ở cuối phân câu giả định (thường đi với rúguǒ)."
"堵车 (dǔchē)","kẹt xe, tắc đường","Giao thông bị đình trệ do quá nhiều xe."
"环路 (huánlù)","đường vành đai","Đường chạy quanh ngoại vi thành phố."
"误 (wù)","trễ, lỡ, sai","Lỡ chuyến xe hoặc làm sai lệch thời gian."
"国际 (guójì)","quốc tế","Liên quan đến nhiều quốc gia khác nhau."
"国内 (guónèi)","trong nước, nội địa","Liên quan đến phạm vi bên trong một quốc gia."
"航班 (hángbān)","chuyến bay","Lịch trình bay cụ thể của máy bay."
"待 (dāi)","lưu lại, ở lại","Ở lại một nơi nào đó trong thời gian ngắn."
"出来 (chūlái)","ra ngoài, nghĩ ra","Chỉ hướng từ trong ra hoặc kết quả của tư duy."
"提前 (tíqián)","trước thời hạn, sớm","Làm việc gì đó trước mốc thời gian quy định."
"从来 (cónglái)","từ trước tới nay","Dùng trong câu phủ định (chưa từng) hoặc khẳng định."
"从不 (cóngbù)","không bao giờ","Phủ định tuyệt đối một thói quen/hành động."
"信心 (xìnxīn)","lòng tin, sự tự tin","Niềm tin vào bản thân hoặc kết quả tốt đẹp."
"面试 (miànshì)","phỏng vấn","Cuộc gặp mặt trực tiếp để tuyển dụng/thi tuyển."
"软卧 (ruǎnwò)","giường nằm mềm","Loại khoang giường nằm cao cấp trên tàu hỏa."
"软 (ruǎn)","mềm","Tính chất vật lý không cứng hoặc người dễ mủi lòng."
"硬卧 (yìngwò)","giường nằm cứng","Loại khoang giường nằm phổ thông trên tàu hỏa."
"硬 (yìng)","cứng","Tính chất vật lý bền chắc hoặc thái độ kiên quyết."
"卧铺 (wòpù)","giường nằm","Chỗ nằm nghỉ trên phương tiện giao thông (tàu, xe)."
"躺 (tǎng)","nằm","Hành động đặt lưng xuống mặt phẳng để nghỉ."
"早晨 (zǎochen)","sáng sớm","Khoảng thời gian bình minh bắt đầu ngày mới."
"耽误 (dānwu)","làm trễ nải, lỡ dở","Gây chậm trễ cho công việc hoặc thời gian."
"票价 (piàojià)","giá vé","Số tiền cần trả để mua một tấm vé."
"价格 (jiàgé)","giá cả","Trị giá bằng tiền của hàng hóa/dịch vụ."
"考虑 (kǎolǜ)","cân nhắc, suy nghĩ","Suy nghĩ kỹ trước khi đưa ra quyết định."
"订 (dìng)","đặt (vé, phòng)","Hẹn trước việc sử dụng dịch vụ."
"处 (chù)","nơi, địa điểm","Dùng sau danh từ để chỉ nơi cụ thể (vd: dìngpiàochù)."
"名片 (míngpiàn)","danh thiếp, card","Tấm thẻ ghi thông tin cá nhân/công ty."
"售票员 (shòupiàoyuán)","nhân viên bán vé","Người trực tiếp giao dịch bán vé tại quầy."
"职员 (zhíyuán)","nhân viên văn phòng","Người làm việc trong công ty, tổ chức."
"经济 (jīngjì)","kinh tế, tiết kiệm","Liên quan đến tài chính hoặc dùng ít tiền hơn."
"稍 (shāo)","hơi, một chút","Phó từ chỉ mức độ nhẹ hoặc thời gian ngắn."
"当时 (dāngshí)","lúc đó, khi đó","Chỉ thời điểm sự việc diễn ra trong quá khứ."
"当天 (dàngtiān)","ngay hôm đó","Chỉ trong phạm vi ngày diễn ra sự việc."
"当年 (dàngnián)","năm đó","Chỉ một năm cụ thể trong quá khứ."
"当地 (dāngdì)","địa phương, sở tại","Chỉ nơi đang nhắc tới hoặc người bản địa."
"旺季 (wàngjì)","mùa cao điểm","Mùa có lượng khách du lịch đông nhất."
"淡季 (dànjì)","mùa thấp điểm","Mùa có ít khách du lịch, giá cả rẻ hơn."
"雨季 (yǔjì)","mùa mưa","Thời điểm trong năm thường xuyên có mưa."
"旱季 (hànjì)","mùa khô","Thời điểm trong năm ít mưa, hanh khô."
"要不 (yàobù)","hay là, nếu không thì","Đưa ra một gợi ý khác hoặc kết cục xấu."
"姓名 (xìngmíng)","họ tên","Tên đầy đủ của một cá nhân."
"护照 (hùzhào)","hộ chiếu","Giấy tờ để xuất nhập cảnh quốc tế."
"地址 (dìzhǐ)","địa chỉ","Thông tin số nhà, đường phố để tìm nơi ở."
"联系 (liánxì)","liên hệ, liên lạc","Trao đổi thông tin với ai đó bằng điện thoại/thư."
"送 (sòng)","giao đến, tặng","Giao hàng tận nơi hoặc trao quà tặng."
"选择 (xuǎnzé)","chọn lựa, sự lựa chọn","Quá trình tìm ra phương án tốt nhất trong nhiều cái."
"决定 (juédìng)","quyết định","Kết quả cuối cùng của việc suy tính."
"终于 (zhōngyú)","cuối cùng","Kết quả đạt được sau một thời gian dài chờ đợi/nỗ lực."
"首先 (shǒuxiān)","đầu tiên","Dùng để bắt đầu trình bày các bước theo thứ tự."
"最后 (zuìhòu)","cuối cùng","Dùng để kết thúc trình bày các bước theo thứ tự."
"解决 (jiějué)","giải quyết","Làm cho vấn đề/khó khăn biến mất."
"轻松 (qīngsōng)","nhẹ nhàng, thoải mái","Trạng thái không có áp lực hay gánh nặng."
"放松 (fàngsōng)","thư giãn","Làm cho cơ thể/đầu óc thoải mái sau khi bận rộn."
"借书证 (jièshūzhèng)","thẻ mượn sách","Thẻ dùng để mượn tài liệu tại thư viện."
"顺利 (shùnlì)","thuận lợi","Mọi việc diễn ra đúng kế hoạch, không trắc trở."
"产品 (chǎnpǐn)","sản phẩm","Hàng hóa do nhà máy hoặc cá nhân làm ra."
"数量 (shùliàng)","số lượng","Mức độ nhiều hay ít của sự vật."
"温和 (wēnhé)","ôn hòa, dịu dàng","Tính cách hiền hoặc thời tiết dễ chịu."
"歌词 (gēcí)","lời bài hát","Nội dung ca từ của một bản nhạc."
"首歌 (shǒugē)","bài hát","Cách gọi chung về một tác phẩm âm nhạc."
"而且 (érqiě)","hơn nữa, mà còn","Liên từ bổ sung thêm thông tin."
"不是……而是…… (bùshì...érshì)","không phải... mà là...","Cấu trúc phủ định ý này, khẳng định ý kia."
"不但……而且…… (bùdàn...érqiě)","không những... mà còn...","Cấu trúc tăng tiến mức độ của sự việc."
"不是……就是…… (bùshì...jiùshì)","không phải... thì là...","Đưa ra hai khả năng chọn một."
"当……时 (dāng...shí)","khi...","Chỉ thời điểm diễn ra một hành động."
"电器 (diànqì)","đồ điện","Các thiết bị chạy bằng điện trong nhà."
"欧洲 (Ōuzhōu)","Châu Âu","Tên một châu lục trên thế giới."
"接近 (jiējìn)","tiếp cận, gần gũi","Tiến lại gần hoặc dễ làm quen."
"现金 (xiànjīn)","tiền mặt","Tiền giấy hoặc tiền xu dùng trực tiếp."
"米线 (mǐxiàn)","bún, hủ tiếu","Loại thực phẩm làm từ bột gạo dạng sợi."
"大一 (dàyī)","năm thứ nhất đại học","Sinh viên mới vào trường đại học."
"另外 (lìngwài)","ngoài ra, khác","Chỉ đối tượng hoặc ý kiến khác nằm ngoài cái đang nói."
"煮粥 (zhǔzhōu)","nấu cháo","Cách nấu gạo với nhiều nước cho mềm nhừ."
"力量 (lìliang)","sức mạnh, lực lượng","Khả năng tác động mạnh mẽ của người hoặc vật."
"保持 (bǎochí)","duy trì, giữ gìn","Làm cho một trạng thái không bị mất đi (vd: giữ liên lạc)."
"影响 (yǐngxiǎng)","ảnh hưởng","Tác động làm thay đổi người hoặc việc khác."
"原因 (yuányīn)","nguyên nhân","Lý do dẫn đến một sự kết quả nào đó."
"心思 (xīnsi)","tâm tư, ý định","Những suy nghĩ sâu kín trong lòng."
"社交 (shèjiāo)","giao tiếp xã hội","Các hoạt động giao lưu, kết bạn trong cộng đồng."
"存在 (cúnzài)","tồn tại","Trạng thái đang có mặt, đang hiện hữu."
"不仅 (bùjǐn)","không chỉ","Giống 'bùdàn', dùng để mở rộng thêm ý."
"对话 (duìhuà)","đối thoại","Cuộc trò chuyện qua lại giữa hai hay nhiều người."
"慢慢 (mànmàn)","từ từ, dần dần","Hành động diễn ra với tốc độ chậm."
"午觉 (wǔjiào)","ngủ trưa","Giấc ngủ ngắn vào giữa ngày."
"睡懒觉 (shuì lǎnjiào)","ngủ nướng","Ngủ quá giờ thức dậy bình thường do lười."
"没用 (méiyòng)","vô dụng, không ích gì","Thứ không mang lại lợi ích hoặc giá trị."
"交流 (jiāoliú)","trao đổi, giao lưu","Chia sẻ thông tin, văn hóa hoặc tình cảm."
"难得 (nándé)","hiếm có, quý giá","Dùng cho những dịp hoặc cơ hội ít khi gặp."
"内容 (nèiróng)","nội dung","Những gì chứa đựng bên trong một bài viết/video."
"恋爱 (liàn’ài)","yêu đương","Mối quan hệ tình cảm nam nữ."
"心情 (xīnqíng)","tâm trạng","Trạng thái cảm xúc tại một thời điểm."
"正常 (zhèngcháng)","bình thường","Trạng thái ổn định, không có gì lạ."
"会议 (huìyì)","cuộc họp, hội nghị","Buổi tập hợp mọi người để thảo luận việc chung."
"失败 (shībài)","thất bại","Kết quả không đạt được như mong muốn."
